ID	Group	Date	Time	BT
S36	IBA	07.03.2020	23:56:01	36,95
S36	IBA	08.03.2020	00:16:01	36,7
S36	IBA	08.03.2020	00:36:01	36,576
S36	IBA	08.03.2020	00:56:01	36,95
S36	IBA	08.03.2020	01:16:01	37,012
S36	IBA	08.03.2020	01:36:01	36,7
S36	IBA	08.03.2020	01:56:01	36,389
S36	IBA	08.03.2020	02:16:01	36,14
S36	IBA	08.03.2020	02:36:01	35,89
S36	IBA	08.03.2020	02:56:01	36,763
S36	IBA	08.03.2020	03:16:01	36,7
S36	IBA	08.03.2020	03:36:01	36,825
S36	IBA	08.03.2020	03:56:01	36,202
S36	IBA	08.03.2020	04:16:01	36,576
S36	IBA	08.03.2020	04:36:01	36,763
S36	IBA	08.03.2020	04:56:01	36,077
S36	IBA	08.03.2020	05:16:01	35,516
S36	IBA	08.03.2020	05:36:01	34,83
S36	IBA	08.03.2020	05:56:01	34,706
S36	IBA	08.03.2020	06:16:01	35,579
S36	IBA	08.03.2020	06:36:01	35,641
S36	IBA	08.03.2020	06:56:01	35,391
S36	IBA	08.03.2020	07:16:01	35,017
S36	IBA	08.03.2020	07:36:01	35,08
S36	IBA	08.03.2020	07:56:01	34,83
S36	IBA	08.03.2020	08:16:01	35,329
S36	IBA	08.03.2020	08:36:01	34,83
S36	IBA	08.03.2020	08:56:01	35,204
S36	IBA	08.03.2020	09:16:01	35,953
S36	IBA	08.03.2020	09:36:01	35,641
S36	IBA	08.03.2020	09:56:01	35,454
S36	IBA	08.03.2020	10:16:01	35,204
S36	IBA	08.03.2020	10:36:01	35,641
S36	IBA	08.03.2020	10:56:01	36,015
S36	IBA	08.03.2020	11:16:01	35,516
S36	IBA	08.03.2020	11:36:01	35,017
S36	IBA	08.03.2020	11:56:01	35,267
S36	IBA	08.03.2020	12:16:01	36,015
S36	IBA	08.03.2020	12:36:01	35,766
S36	IBA	08.03.2020	12:56:01	35,89
S36	IBA	08.03.2020	13:16:01	35,516
S36	IBA	08.03.2020	13:36:01	35,89
S36	IBA	08.03.2020	13:56:01	35,579
S36	IBA	08.03.2020	14:16:01	35,516
S36	IBA	08.03.2020	14:36:01	35,454
S36	IBA	08.03.2020	14:56:01	35,516
S36	IBA	08.03.2020	15:16:01	35,828
S36	IBA	08.03.2020	15:36:01	35,391
S36	IBA	08.03.2020	15:56:01	35,329
S36	IBA	08.03.2020	16:16:01	35,142
S36	IBA	08.03.2020	16:36:01	35,828
S36	IBA	08.03.2020	16:56:01	35,454
S36	IBA	08.03.2020	17:16:01	35,89
S36	IBA	08.03.2020	17:36:01	36,451
S36	IBA	08.03.2020	17:56:01	35,953
S36	IBA	08.03.2020	18:16:01	35,454
S36	IBA	08.03.2020	18:36:01	35,766
S36	IBA	08.03.2020	18:56:01	36,389
S36	IBA	08.03.2020	19:16:01	36,202
S36	IBA	08.03.2020	19:36:01	35,766
S36	IBA	08.03.2020	19:56:01	35,579
S36	IBA	08.03.2020	20:16:01	36,14
S36	IBA	08.03.2020	20:36:01	36,638
S36	IBA	08.03.2020	20:56:01	36,513
S36	IBA	08.03.2020	21:16:01	36,202
S36	IBA	08.03.2020	21:36:01	36,202
S36	IBA	08.03.2020	21:56:01	36,7
S36	IBA	08.03.2020	22:16:01	36,389
S36	IBA	08.03.2020	22:36:01	36,95
S36	IBA	08.03.2020	22:56:01	36,513
S36	IBA	08.03.2020	23:16:01	36,202
S36	IBA	08.03.2020	23:36:01	36,326
S36	IBA	08.03.2020	23:56:01	36,638
S36	IBA	09.03.2020	00:16:01	36,887
S36	IBA	09.03.2020	00:36:01	36,95
S36	IBA	09.03.2020	00:56:01	37,324
S36	IBA	09.03.2020	01:16:01	36,887
S36	IBA	09.03.2020	01:36:01	37,012
S36	IBA	09.03.2020	01:56:01	37,324
S36	IBA	09.03.2020	02:16:01	36,95
S36	IBA	09.03.2020	02:36:01	37,137
S36	IBA	09.03.2020	02:56:01	37,261
S36	IBA	09.03.2020	03:16:01	36,825
S36	IBA	09.03.2020	03:36:01	36,451
S36	IBA	09.03.2020	03:56:01	36,202
S36	IBA	09.03.2020	04:16:01	36,326
S36	IBA	09.03.2020	04:36:01	36,825
S36	IBA	09.03.2020	04:56:01	36,7
S36	IBA	09.03.2020	05:16:01	36,7
S36	IBA	09.03.2020	05:36:01	36,825
S36	IBA	09.03.2020	05:56:01	36,763
S36	IBA	09.03.2020	06:16:01	36,389
S36	IBA	09.03.2020	06:36:01	36,264
S36	IBA	09.03.2020	06:56:01	36,202
S36	IBA	09.03.2020	07:16:01	36,451
S36	IBA	09.03.2020	07:36:01	36,825
S36	IBA	09.03.2020	07:56:01	36,389
S36	IBA	09.03.2020	08:16:01	35,766
S36	IBA	09.03.2020	08:36:01	35,703
S36	IBA	09.03.2020	08:56:01	35,017
S36	IBA	09.03.2020	09:16:01	35,267
S36	IBA	09.03.2020	09:36:01	35,142
S36	IBA	09.03.2020	09:56:01	35,142
S36	IBA	09.03.2020	10:16:01	35,267
S36	IBA	09.03.2020	10:36:01	34,83
S36	IBA	09.03.2020	10:56:01	35,579
S36	IBA	09.03.2020	11:16:01	36,7
S36	IBA	09.03.2020	11:36:01	36,264
S36	IBA	09.03.2020	11:56:01	35,703
S36	IBA	09.03.2020	12:16:01	35,329
S36	IBA	09.03.2020	12:36:01	35,08
S36	IBA	09.03.2020	12:56:01	34,83
S36	IBA	09.03.2020	13:16:01	35,204
S36	IBA	09.03.2020	13:36:01	35,516
S36	IBA	09.03.2020	13:56:01	35,391
S36	IBA	09.03.2020	14:16:01	35,953
S36	IBA	09.03.2020	14:36:01	36,264
S36	IBA	09.03.2020	14:56:01	36,389
S36	IBA	09.03.2020	15:16:01	35,89
S36	IBA	09.03.2020	15:36:01	35,766
S36	IBA	09.03.2020	15:56:01	35,766
S36	IBA	09.03.2020	16:16:01	35,579
S36	IBA	09.03.2020	16:36:01	35,516
S36	IBA	09.03.2020	16:56:01	35,89
S36	IBA	09.03.2020	17:16:01	36,326
S36	IBA	09.03.2020	17:36:01	36,576
S36	IBA	09.03.2020	17:56:01	35,89
S36	IBA	09.03.2020	18:16:01	35,516
S36	IBA	09.03.2020	18:36:01	35,579
S36	IBA	09.03.2020	18:56:01	35,204
S36	IBA	09.03.2020	19:16:01	35,579
S36	IBA	09.03.2020	19:36:01	36,513
S36	IBA	09.03.2020	19:56:01	36,14
S36	IBA	09.03.2020	20:16:01	35,953
S36	IBA	09.03.2020	20:36:01	35,89
S36	IBA	09.03.2020	20:56:01	35,766
S36	IBA	09.03.2020	21:16:01	35,641
S36	IBA	09.03.2020	21:36:01	36,202
S36	IBA	09.03.2020	21:56:01	36,451
S36	IBA	09.03.2020	22:16:01	36,202
S36	IBA	09.03.2020	22:36:01	36,077
S36	IBA	09.03.2020	22:56:01	35,703
S36	IBA	09.03.2020	23:16:01	36,576
S36	IBA	09.03.2020	23:36:01	36,638
S36	IBA	09.03.2020	23:56:01	36,202
S36	IBA	10.03.2020	00:16:01	35,953
S36	IBA	10.03.2020	00:36:01	36,202
S36	IBA	10.03.2020	00:56:01	36,638
S36	IBA	10.03.2020	01:16:01	37,012
S36	IBA	10.03.2020	01:36:01	36,576
S36	IBA	10.03.2020	01:56:01	36,451
S36	IBA	10.03.2020	02:16:01	36,638
S36	IBA	10.03.2020	02:36:01	37,324
S36	IBA	10.03.2020	02:56:01	37,199
S36	IBA	10.03.2020	03:16:01	36,825
S36	IBA	10.03.2020	03:36:01	36,887
S36	IBA	10.03.2020	03:56:01	36,763
S36	IBA	10.03.2020	04:16:01	36,7
S36	IBA	10.03.2020	04:36:01	36,887
S36	IBA	10.03.2020	04:56:01	36,451
S36	IBA	10.03.2020	05:16:01	36,763
S36	IBA	10.03.2020	05:36:01	36,763
S36	IBA	10.03.2020	05:56:01	36,887
S36	IBA	10.03.2020	06:16:01	37,261
S36	IBA	10.03.2020	06:36:01	36,825
S36	IBA	10.03.2020	06:56:01	36,202
S36	IBA	10.03.2020	07:16:01	35,766
S36	IBA	10.03.2020	07:36:01	35,391
S36	IBA	10.03.2020	07:56:01	36,264
S36	IBA	10.03.2020	08:16:01	36,576
S36	IBA	10.03.2020	08:36:01	37,074
S36	IBA	10.03.2020	08:56:01	36,451
S36	IBA	10.03.2020	09:16:01	35,579
S36	IBA	10.03.2020	09:36:01	35,267
S36	IBA	10.03.2020	09:56:01	35,329
S36	IBA	10.03.2020	10:16:01	35,204
S36	IBA	10.03.2020	10:36:01	34,955
S36	IBA	10.03.2020	10:56:01	34,768
S36	IBA	10.03.2020	11:16:01	35,329
S36	IBA	10.03.2020	11:36:01	35,017
S36	IBA	10.03.2020	11:56:01	35,953
S36	IBA	10.03.2020	12:16:01	36,513
S36	IBA	10.03.2020	12:36:01	36,077
S36	IBA	10.03.2020	12:56:01	35,953
S36	IBA	10.03.2020	13:16:01	35,641
S36	IBA	10.03.2020	13:36:01	35,142
S36	IBA	10.03.2020	13:56:01	35,703
S36	IBA	10.03.2020	14:16:01	36,202
S36	IBA	10.03.2020	14:36:01	36,451
S36	IBA	10.03.2020	14:56:01	36,576
S36	IBA	10.03.2020	15:16:01	36,015
S36	IBA	10.03.2020	15:36:01	35,516
S36	IBA	10.03.2020	15:56:01	37,697
S36	IBA	10.03.2020	16:16:01	37,511
S36	IBA	10.03.2020	16:36:01	37,074
S36	IBA	10.03.2020	16:56:01	36,825
S36	IBA	10.03.2020	17:16:01	36,887
S36	IBA	10.03.2020	17:36:01	36,264
S36	IBA	10.03.2020	17:56:01	35,454
S36	IBA	10.03.2020	18:16:01	35,267
S36	IBA	10.03.2020	18:36:01	35,454
S36	IBA	10.03.2020	18:56:01	35,267
S36	IBA	10.03.2020	19:16:01	34,955
S36	IBA	10.03.2020	19:36:01	34,706
S36	IBA	10.03.2020	19:56:01	34,643
S36	IBA	10.03.2020	20:16:01	35,454
S36	IBA	10.03.2020	20:36:01	36,389
S36	IBA	10.03.2020	20:56:01	36,015
S36	IBA	10.03.2020	21:16:01	35,579
S36	IBA	10.03.2020	21:36:01	35,329
S36	IBA	10.03.2020	21:56:01	35,204
S36	IBA	10.03.2020	22:16:01	35,828
S36	IBA	10.03.2020	22:36:01	35,953
S36	IBA	10.03.2020	22:56:01	35,89
S36	IBA	10.03.2020	23:16:01	35,89
S36	IBA	10.03.2020	23:36:01	36,7
S36	IBA	10.03.2020	23:56:01	37,324
S36	IBA	11.03.2020	00:16:01	37,884
S36	IBA	11.03.2020	00:36:01	37,386
S36	IBA	11.03.2020	00:56:01	37,074
S36	IBA	11.03.2020	01:16:01	37,324
S36	IBA	11.03.2020	01:36:01	37,448
S36	IBA	11.03.2020	01:56:01	36,14
S36	IBA	11.03.2020	02:16:01	35,641
S36	IBA	11.03.2020	02:36:01	35,329
S36	IBA	11.03.2020	02:56:01	35,579
S36	IBA	11.03.2020	03:16:01	35,579
S36	IBA	11.03.2020	03:36:01	35,142
S36	IBA	11.03.2020	03:56:01	35,267
S36	IBA	11.03.2020	04:16:01	35,329
S36	IBA	11.03.2020	04:36:01	36,451
S36	IBA	11.03.2020	04:56:01	36,513
S36	IBA	11.03.2020	05:16:01	36,763
S36	IBA	11.03.2020	05:36:01	36,389
S36	IBA	11.03.2020	05:56:01	35,641
S36	IBA	11.03.2020	06:16:01	35,267
S36	IBA	11.03.2020	06:36:01	34,955
S36	IBA	11.03.2020	06:56:01	34,955
S36	IBA	11.03.2020	07:16:01	34,893
S36	IBA	11.03.2020	07:36:01	36,202
S36	IBA	11.03.2020	07:56:01	36,264
S36	IBA	11.03.2020	08:16:01	35,766
S36	IBA	11.03.2020	08:36:01	35,017
S36	IBA	11.03.2020	08:56:01	34,955
S36	IBA	11.03.2020	09:16:01	34,581
S36	IBA	11.03.2020	09:36:01	35,454
S36	IBA	11.03.2020	09:56:01	35,391
S36	IBA	11.03.2020	10:16:01	34,893
S36	IBA	11.03.2020	10:36:01	34,643
S36	IBA	11.03.2020	10:56:01	35,08
S36	IBA	11.03.2020	11:16:01	34,519
S36	IBA	11.03.2020	11:36:01	34,706
S36	IBA	11.03.2020	11:56:01	36,202
S36	IBA	11.03.2020	12:16:01	35,766
S36	IBA	11.03.2020	12:36:01	35,267
S36	IBA	11.03.2020	12:56:01	34,768
S36	IBA	11.03.2020	13:16:01	34,456
S36	IBA	11.03.2020	13:36:01	35,641
S36	IBA	11.03.2020	13:56:01	35,454
S36	IBA	11.03.2020	14:16:01	35,08
S36	IBA	11.03.2020	14:36:01	34,893
S36	IBA	11.03.2020	14:56:01	35,142
S36	IBA	11.03.2020	15:16:01	36,14
S36	IBA	11.03.2020	15:36:01	36,576
S36	IBA	11.03.2020	15:56:01	36,077
S36	IBA	11.03.2020	16:16:01	35,828
S36	IBA	11.03.2020	16:36:01	35,89
S36	IBA	11.03.2020	16:56:01	35,703
S36	IBA	11.03.2020	17:16:01	36,326
S36	IBA	11.03.2020	17:36:01	36,202
S36	IBA	11.03.2020	17:56:01	36,015
S36	IBA	11.03.2020	18:16:01	36,14
S36	IBA	11.03.2020	18:36:01	36,576
S36	IBA	11.03.2020	18:56:01	35,828
S36	IBA	11.03.2020	19:16:01	35,828
S36	IBA	11.03.2020	19:36:01	36,14
S36	IBA	11.03.2020	19:56:01	35,828
S36	IBA	11.03.2020	20:16:01	35,579
S36	IBA	11.03.2020	20:36:01	36,202
S36	IBA	11.03.2020	20:56:01	36,576
S36	IBA	11.03.2020	21:16:01	35,703
S36	IBA	11.03.2020	21:36:01	36,202
S36	IBA	11.03.2020	21:56:01	36,638
S36	IBA	11.03.2020	22:16:01	36,14
S36	IBA	11.03.2020	22:36:01	36,326
S36	IBA	11.03.2020	22:56:01	37,324
S36	IBA	11.03.2020	23:16:01	37,573
S36	IBA	11.03.2020	23:36:01	37,884
S36	IBA	11.03.2020	23:56:01	37,137
S36	IBA	12.03.2020	00:16:01	37,261
S36	IBA	12.03.2020	00:36:01	36,763
S36	IBA	12.03.2020	00:56:01	36,264
S36	IBA	12.03.2020	01:16:01	35,89
S36	IBA	12.03.2020	01:36:01	36,077
S36	IBA	12.03.2020	01:56:01	36,763
S36	IBA	12.03.2020	02:16:01	36,202
S36	IBA	12.03.2020	02:36:01	37,074
S36	IBA	12.03.2020	02:56:01	37,074
S36	IBA	12.03.2020	03:16:01	36,576
S36	IBA	12.03.2020	03:36:01	35,89
S36	IBA	12.03.2020	03:56:01	35,267
S36	IBA	12.03.2020	04:16:01	34,706
S36	IBA	12.03.2020	04:36:01	34,394
S36	IBA	12.03.2020	04:56:01	35,579
S36	IBA	12.03.2020	05:16:01	36,202
S36	IBA	12.03.2020	05:36:01	35,516
S36	IBA	12.03.2020	05:56:01	35,142
S36	IBA	12.03.2020	06:16:01	34,83
S36	IBA	12.03.2020	06:36:01	35,267
S36	IBA	12.03.2020	06:56:01	34,706
S36	IBA	12.03.2020	07:16:01	35,641
S36	IBA	12.03.2020	07:36:01	36,389
S36	IBA	12.03.2020	07:56:01	36,264
S36	IBA	12.03.2020	08:16:01	35,454
S36	IBA	12.03.2020	08:36:01	34,768
S36	IBA	12.03.2020	08:56:01	34,581
S36	IBA	12.03.2020	09:16:01	34,519
S36	IBA	12.03.2020	09:36:01	33,833
S36	IBA	12.03.2020	09:56:01	34,394
S36	IBA	12.03.2020	10:16:01	35,142
S36	IBA	12.03.2020	10:36:01	34,768
S36	IBA	12.03.2020	10:56:01	34,519
S36	IBA	12.03.2020	11:16:01	34,456
S36	IBA	12.03.2020	11:36:01	34,706
S36	IBA	12.03.2020	11:56:01	34,955
S36	IBA	12.03.2020	12:16:01	34,83
S36	IBA	12.03.2020	12:36:01	35,142
S36	IBA	12.03.2020	12:56:01	35,391
S36	IBA	12.03.2020	13:16:01	35,08
S36	IBA	12.03.2020	13:36:01	35,08
S36	IBA	12.03.2020	13:56:01	35,766
S36	IBA	12.03.2020	14:16:01	35,641
S36	IBA	12.03.2020	14:36:01	35,329
S36	IBA	12.03.2020	14:56:01	35,204
S36	IBA	12.03.2020	15:16:01	35,579
S36	IBA	12.03.2020	15:36:01	36,015
S36	IBA	12.03.2020	15:56:01	35,828
S36	IBA	12.03.2020	16:16:01	35,641
S36	IBA	12.03.2020	16:36:01	35,516
S36	IBA	12.03.2020	16:56:01	35,579
S36	IBA	12.03.2020	17:16:01	35,953
S36	IBA	12.03.2020	17:36:01	35,766
S36	IBA	12.03.2020	17:56:01	36,015
S36	IBA	12.03.2020	18:16:01	36,389
S36	IBA	12.03.2020	18:36:01	36,14
S36	IBA	12.03.2020	18:56:01	36,077
S36	IBA	12.03.2020	19:16:01	36,14
S36	IBA	12.03.2020	19:36:01	36,763
S36	IBA	12.03.2020	19:56:01	36,513
S36	IBA	12.03.2020	20:16:01	36,14
S36	IBA	12.03.2020	20:36:01	36,015
S36	IBA	12.03.2020	20:56:01	35,641
S36	IBA	12.03.2020	21:16:01	36,389
S36	IBA	12.03.2020	21:36:01	36,015
S36	IBA	12.03.2020	21:56:01	36,451
S36	IBA	12.03.2020	22:16:01	37,697
S36	IBA	12.03.2020	22:36:01	37,012
S36	IBA	12.03.2020	22:56:01	36,825
S36	IBA	12.03.2020	23:16:01	37,261
S36	IBA	12.03.2020	23:36:01	36,638
S36	IBA	12.03.2020	23:56:01	36,638
S36	IBA	13.03.2020	00:16:01	36,451
S36	IBA	13.03.2020	00:36:01	36,576
S36	IBA	13.03.2020	00:56:01	36,763
S36	IBA	13.03.2020	01:16:01	37,074
S36	IBA	13.03.2020	01:36:01	36,887
S36	IBA	13.03.2020	01:56:01	36,7
S36	IBA	13.03.2020	02:16:01	36,763
S36	IBA	13.03.2020	02:36:01	36,326
S36	IBA	13.03.2020	02:56:01	36,202
S36	IBA	13.03.2020	03:16:01	36,513
S36	IBA	13.03.2020	03:36:01	36,887
S36	IBA	13.03.2020	03:56:01	36,451
S36	IBA	13.03.2020	04:16:01	35,828
S36	IBA	13.03.2020	04:36:01	35,267
S36	IBA	13.03.2020	04:56:01	35,766
S36	IBA	13.03.2020	05:16:01	36,763
S36	IBA	13.03.2020	05:36:01	36,7
S36	IBA	13.03.2020	05:56:01	36,513
S36	IBA	13.03.2020	06:16:01	36,576
S36	IBA	13.03.2020	06:36:01	35,953
S36	IBA	13.03.2020	06:56:01	35,204
S36	IBA	13.03.2020	07:16:01	34,456
S36	IBA	13.03.2020	07:36:01	35,329
S36	IBA	13.03.2020	07:56:01	35,017
S36	IBA	13.03.2020	08:16:01	35,142
S36	IBA	13.03.2020	08:36:01	35,267
S36	IBA	13.03.2020	08:56:01	36,14
S36	IBA	13.03.2020	09:16:01	35,828
S36	IBA	13.03.2020	09:36:01	35,454
S36	IBA	13.03.2020	09:56:01	35,142
S36	IBA	13.03.2020	10:16:01	35,017
S36	IBA	13.03.2020	10:36:01	35,267
S36	IBA	13.03.2020	10:56:01	35,017
S36	IBA	13.03.2020	11:16:01	35,766
S36	IBA	13.03.2020	11:36:01	35,454
S36	IBA	13.03.2020	11:56:01	35,204
S36	IBA	13.03.2020	12:16:01	35,017
S36	IBA	13.03.2020	12:36:01	35,391
S36	IBA	13.03.2020	12:56:01	36,326
S36	IBA	13.03.2020	13:16:01	35,953
S36	IBA	13.03.2020	13:36:01	35,516
S36	IBA	13.03.2020	13:56:01	35,204
S36	IBA	13.03.2020	14:16:01	34,955
S36	IBA	13.03.2020	14:36:01	36,326
S36	IBA	13.03.2020	14:56:01	35,89
S36	IBA	13.03.2020	15:16:01	35,516
S36	IBA	13.03.2020	15:36:01	35,329
S36	IBA	13.03.2020	15:56:01	35,142
S36	IBA	13.03.2020	16:16:01	35,391
S36	IBA	13.03.2020	16:36:01	35,766
S36	IBA	13.03.2020	16:56:01	35,329
S36	IBA	13.03.2020	17:16:01	35,391
S36	IBA	13.03.2020	17:36:01	35,579
S36	IBA	13.03.2020	17:56:01	36,202
S36	IBA	13.03.2020	18:16:01	36,451
S36	IBA	13.03.2020	18:36:01	36,015
S36	IBA	13.03.2020	18:56:01	35,828
S36	IBA	13.03.2020	19:16:01	35,579
S36	IBA	13.03.2020	19:36:01	36,264
S36	IBA	13.03.2020	19:56:01	36,14
S36	IBA	13.03.2020	20:16:01	35,953
S36	IBA	13.03.2020	20:36:01	35,766
S36	IBA	13.03.2020	20:56:01	35,89
S36	IBA	13.03.2020	21:16:01	36,763
S36	IBA	13.03.2020	21:36:01	36,264
S36	IBA	13.03.2020	21:56:01	36,015
S36	IBA	13.03.2020	22:16:01	36,015
S36	IBA	13.03.2020	22:36:01	36,389
S36	IBA	13.03.2020	22:56:01	36,576
S36	IBA	13.03.2020	23:16:01	36,887
S36	IBA	13.03.2020	23:36:01	36,202
S36	IBA	13.03.2020	23:56:01	35,766
S36	IBA	14.03.2020	00:16:01	36,077
S36	IBA	14.03.2020	00:36:01	36,264
S36	IBA	14.03.2020	00:56:01	36,576
S36	IBA	14.03.2020	01:16:01	36,638
S36	IBA	14.03.2020	01:36:01	37,199
S36	IBA	14.03.2020	01:56:01	37,012
S36	IBA	14.03.2020	02:16:01	37,074
S36	IBA	14.03.2020	02:36:01	37,074
S36	IBA	14.03.2020	02:56:01	37,324
S36	IBA	14.03.2020	03:16:01	37,012
S36	IBA	14.03.2020	03:36:01	36,638
S36	IBA	14.03.2020	03:56:01	36,389
S36	IBA	14.03.2020	04:16:01	36,389
S36	IBA	14.03.2020	04:36:01	36,638
S36	IBA	14.03.2020	04:56:01	36,763
S36	IBA	14.03.2020	05:16:01	36,825
S36	IBA	14.03.2020	05:36:01	36,264
S36	IBA	14.03.2020	05:56:01	35,641
S36	IBA	14.03.2020	06:16:01	35,204
S36	IBA	14.03.2020	06:36:01	35,828
S36	IBA	14.03.2020	06:56:01	36,264
S36	IBA	14.03.2020	07:16:01	35,89
S36	IBA	14.03.2020	07:36:01	35,391
S36	IBA	14.03.2020	07:56:01	34,83
S36	IBA	14.03.2020	08:16:01	35,516
S36	IBA	14.03.2020	08:36:01	36,077
S36	IBA	14.03.2020	08:56:01	35,391
S36	IBA	14.03.2020	09:16:01	35,017
S36	IBA	14.03.2020	09:36:01	34,893
S36	IBA	14.03.2020	09:56:01	34,893
S36	IBA	14.03.2020	10:16:01	35,391
S36	IBA	14.03.2020	10:36:01	35,142
S36	IBA	14.03.2020	10:56:01	34,955
S36	IBA	14.03.2020	11:16:01	35,516
S36	IBA	14.03.2020	11:36:01	36,389
S36	IBA	14.03.2020	11:56:01	36,015
S36	IBA	14.03.2020	12:16:01	35,703
S36	IBA	14.03.2020	12:36:01	35,828
S36	IBA	14.03.2020	12:56:01	35,329
S36	IBA	14.03.2020	13:16:01	35,391
S36	IBA	14.03.2020	13:36:01	36,14
S36	IBA	14.03.2020	13:56:01	35,766
S36	IBA	14.03.2020	14:16:01	35,579
S36	IBA	14.03.2020	14:36:01	35,89
S36	IBA	14.03.2020	14:56:01	37,137
S36	IBA	14.03.2020	15:16:01	36,95
S36	IBA	14.03.2020	15:36:01	36,14
S36	IBA	14.03.2020	15:56:01	35,89
S36	IBA	14.03.2020	16:16:01	35,89
S36	IBA	14.03.2020	16:36:01	35,579
S36	IBA	14.03.2020	16:56:01	36,14
S36	IBA	14.03.2020	17:16:01	36,202
S36	IBA	14.03.2020	17:36:01	35,828
S36	IBA	14.03.2020	17:56:01	35,579
S36	IBA	14.03.2020	18:16:01	35,828
S36	IBA	14.03.2020	18:36:01	36,763
S36	IBA	14.03.2020	18:56:01	36,513
S36	IBA	14.03.2020	19:16:01	36,451
S36	IBA	14.03.2020	19:36:01	36,202
S36	IBA	14.03.2020	19:56:01	36,7
S36	IBA	14.03.2020	20:16:01	36,576
S36	IBA	14.03.2020	20:36:01	36,451
S36	IBA	14.03.2020	20:56:01	36,576
S36	IBA	14.03.2020	21:16:01	36,825
S36	IBA	14.03.2020	21:36:01	36,389
S36	IBA	14.03.2020	21:56:01	36,389
S36	IBA	14.03.2020	22:16:01	36,202
S36	IBA	14.03.2020	22:36:01	36,202
S36	IBA	14.03.2020	22:56:01	36,14
S36	IBA	14.03.2020	23:16:01	36,825
S36	IBA	14.03.2020	23:36:01	36,95
S36	IBA	14.03.2020	23:56:01	37,074
S36	IBA	15.03.2020	00:16:01	36,95
S36	IBA	15.03.2020	00:36:01	36,95
S36	IBA	15.03.2020	00:56:01	37,012
S36	IBA	15.03.2020	01:16:01	37,074
S36	IBA	15.03.2020	01:36:01	37,511
S36	IBA	15.03.2020	01:56:01	37,386
S36	IBA	15.03.2020	02:16:01	36,763
S36	IBA	15.03.2020	02:36:01	36,7
S36	IBA	15.03.2020	02:56:01	36,763
S36	IBA	15.03.2020	03:16:01	36,7
S36	IBA	15.03.2020	03:36:01	36,451
S36	IBA	15.03.2020	03:56:01	36,451
S36	IBA	15.03.2020	04:16:01	36,202
S36	IBA	15.03.2020	04:36:01	36,825
S36	IBA	15.03.2020	04:56:01	36,825
S36	IBA	15.03.2020	05:16:01	37,199
S36	IBA	15.03.2020	05:36:01	36,825
S36	IBA	15.03.2020	05:56:01	36,14
S36	IBA	15.03.2020	06:16:01	35,828
S36	IBA	15.03.2020	06:36:01	35,579
S36	IBA	15.03.2020	06:56:01	35,766
S36	IBA	15.03.2020	07:16:01	35,89
S36	IBA	15.03.2020	07:36:01	36,513
S36	IBA	15.03.2020	07:56:01	36,015
S36	IBA	15.03.2020	08:16:01	35,08
S36	IBA	15.03.2020	08:36:01	34,893
S36	IBA	15.03.2020	08:56:01	33,957
S36	IBA	15.03.2020	09:16:01	35,391
S36	IBA	15.03.2020	09:36:01	35,703
S36	IBA	15.03.2020	09:56:01	35,08
S36	IBA	15.03.2020	10:16:01	34,83
S36	IBA	15.03.2020	10:36:01	34,706
S36	IBA	15.03.2020	10:56:01	35,267
S36	IBA	15.03.2020	11:16:01	35,267
S36	IBA	15.03.2020	11:36:01	34,955
S36	IBA	15.03.2020	11:56:01	35,142
S36	IBA	15.03.2020	12:16:01	36,077
S36	IBA	15.03.2020	12:36:01	35,579
S36	IBA	15.03.2020	12:56:01	35,204
S36	IBA	15.03.2020	13:16:01	35,953
S36	IBA	15.03.2020	13:36:01	35,703
S36	IBA	15.03.2020	13:56:01	35,579
S36	IBA	15.03.2020	14:16:01	35,766
S36	IBA	15.03.2020	14:36:01	35,89
S36	IBA	15.03.2020	14:56:01	35,89
S36	IBA	15.03.2020	15:16:01	36,264
S36	IBA	15.03.2020	15:36:01	36,825
S36	IBA	15.03.2020	15:56:01	36,015
S36	IBA	15.03.2020	16:16:01	36,202
S36	IBA	15.03.2020	16:36:01	35,828
S36	IBA	15.03.2020	16:56:01	35,89
S36	IBA	15.03.2020	17:16:01	36,389
S36	IBA	15.03.2020	17:36:01	36,077
S36	IBA	15.03.2020	17:56:01	36,077
S36	IBA	15.03.2020	18:16:01	36,451
S36	IBA	15.03.2020	18:36:01	36,887
S36	IBA	15.03.2020	18:56:01	36,7
S36	IBA	15.03.2020	19:16:01	36,077
S36	IBA	15.03.2020	19:36:01	36,451
S36	IBA	15.03.2020	19:56:01	36,389
S36	IBA	15.03.2020	20:16:01	35,89
S36	IBA	15.03.2020	20:36:01	35,828
S36	IBA	15.03.2020	20:56:01	36,451
S36	IBA	15.03.2020	21:16:01	35,828
S36	IBA	15.03.2020	21:36:01	35,953
S36	IBA	15.03.2020	21:56:01	36,887
S36	IBA	15.03.2020	22:16:01	36,451
S36	IBA	15.03.2020	22:36:01	36,077
S36	IBA	15.03.2020	22:56:01	36,576
S36	IBA	15.03.2020	23:16:01	37,261
S36	IBA	15.03.2020	23:36:01	37,697
S36	IBA	15.03.2020	23:56:01	37,697
S36	IBA	16.03.2020	00:16:01	37,137
S36	IBA	16.03.2020	00:36:01	36,7
S36	IBA	16.03.2020	00:56:01	36,825
S36	IBA	16.03.2020	01:16:01	37,137
S36	IBA	16.03.2020	01:36:01	36,576
